0.100000 0.947766
0.150000 0.922174
0.200000 0.896310
0.250000 0.871562
0.300000 0.842708
0.350000 0.810408
0.400000 0.790848
0.450000 0.761914
0.500000 0.734429
0.550000 0.706235
0.600000 0.682539
0.650000 0.655031
0.700000 0.628356
0.750000 0.596627
0.800000 0.563430
0.850000 0.533408
0.900000 0.491821
0.950000 0.444802
1.000000 0.381483
1.050000 0.313942
1.100000 0.216678
1.150000 0.150786
1.200000 0.097601
1.250000 0.070273
1.300000 0.051689
1.350000 0.043314
1.400000 0.034987
1.450000 0.027873
1.500000 0.025240
1.550000 0.020970
1.600000 0.019457
1.650000 0.017333
1.700000 0.015854
1.750000 0.014174
1.800000 0.013338
1.850000 0.012337
1.900000 0.011614
1.950000 0.010812
