0 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000
0 0.995370 1.000000 0.995434 0.994444 1.000000 0.997050 0.001217
50 0.848229 0.860057 0.832286 0.798485 0.835323 0.834876 0.010353
100 0.724235 0.720114 0.703751 0.671212 0.740732 0.712009 0.011774
150 0.601248 0.606385 0.587225 0.609596 0.630597 0.607010 0.007029
200 0.519122 0.520400 0.510331 0.523737 0.560512 0.526820 0.008709
250 0.452496 0.441656 0.427685 0.456566 0.505619 0.456804 0.013189
300 0.352657 0.378927 0.345998 0.425758 0.435183 0.387705 0.018367
350 0.327093 0.323541 0.294584 0.337879 0.388551 0.334330 0.015331
400 0.287641 0.268156 0.247736 0.251010 0.309855 0.272880 0.011657
450 0.242552 0.171971 0.244860 0.250505 0.274636 0.236905 0.017205
500 0.262681 0.205528 0.200888 0.242929 0.244600 0.231325 0.012012
550 0.220209 0.150143 0.181437 0.211111 0.213862 0.195352 0.013127
600 0.189211 0.157487 0.138651 0.188889 0.169683 0.168784 0.009638
650 0.153583 0.135557 0.088196 0.156061 0.193137 0.145307 0.017071
700 0.186795 0.132599 0.080981 0.133838 0.182423 0.143327 0.019378
750 0.152778 0.136985 0.080981 0.061111 0.172061 0.120783 0.021284
800 0.197665 0.128315 0.052625 0.034343 0.167580 0.116106 0.031753
850 0.178341 0.112301 0.044224 0.073232 0.193137 0.120247 0.028932
900 0.172101 0.123929 0.007694 0.055051 0.174864 0.106728 0.032932
950 0.168881 0.101999 -0.024496 0.085354 0.138945 0.094137 0.033021
1000 0.137077 0.100571 0.016827 0.097475 0.134815 0.097353 0.021767
1050 0.154187 0.099143 0.030525 0.036869 0.104778 0.085100 0.023089
1100 0.129630 0.045186 -0.038422 0.064141 0.094065 0.058920 0.028219
1150 0.100845 0.039474 0.007467 0.117677 0.104077 0.073908 0.021391
1200 0.033615 0.058344 -0.015591 0.108586 0.083002 0.053591 0.021327
1250 0.020531 0.065687 -0.056914 0.108586 0.072289 0.042036 0.028423
1300 0.042271 0.099245 -0.086228 0.061616 0.057445 0.034870 0.031693
1350 0.026973 0.080375 -0.074220 0.019697 0.066757 0.023916 0.027093
1400 0.020733 0.089147 -0.122758 -0.000505 0.077119 0.012747 0.037803
1450 -0.004831 0.060078 -0.106183 -0.043939 0.096794 0.000384 0.036198
1500 -0.011876 -0.007140 -0.059563 -0.030808 0.111286 0.000380 0.029217
1550 0.014493 -0.007242 -0.076869 -0.038889 0.082301 -0.005241 0.026758
1600 0.015902 0.010200 -0.091753 -0.069192 0.075718 -0.011825 0.030494
1650 0.025966 0.024786 -0.122985 -0.092929 0.107156 -0.011601 0.042343
1700 -0.001208 0.020502 -0.097278 -0.066162 0.121999 -0.004429 0.038110
1750 0.006643 0.030702 -0.074220 -0.073737 0.091262 -0.003870 0.031770
1800 0.015902 0.001530 -0.103534 -0.109596 0.070536 -0.025032 0.035234
1850 0.002013 0.027846 -0.105452 -0.094949 0.055343 -0.023040 0.032652
1900 -0.033615 -0.001224 -0.141023 -0.027778 -0.000951 -0.040918 0.025904
1950 -0.076288 0.027846 -0.122531 -0.054545 -0.022027 -0.049509 0.025312
2000 -0.079509 0.029274 -0.090567 -0.103535 0.001777 -0.048512 0.026774
2050 -0.010467 -0.004182 -0.086960 -0.119192 -0.006483 -0.045457 0.024090
2100 -0.031401 0.000102 -0.079518 -0.093939 0.014593 -0.038033 0.021347
2150 -0.021337 0.059772 -0.022579 -0.068182 -0.011314 -0.012728 0.020621
2200 -0.030596 0.030600 -0.033628 -0.116162 0.029436 -0.024070 0.026895
2250 -0.009662 0.039372 -0.055728 -0.105556 0.085029 -0.009309 0.033681
2300 0.011272 0.067115 -0.052852 -0.084343 0.069836 0.002206 0.031138
2350 0.036031 0.051204 -0.067736 -0.061111 0.083978 0.008473 0.030770
2400 0.008857 0.043860 -0.089836 -0.085859 0.068784 -0.010839 0.032854
2450 0.028986 0.014586 -0.006231 -0.026263 0.049110 0.012038 0.013170
2500 0.049114 0.034986 -0.016322 -0.030808 0.090211 0.025436 0.022085
2550 0.063205 0.018972 -0.030980 -0.059596 0.090561 0.016432 0.028033
2600 0.032206 0.004386 -0.022806 -0.080303 0.061225 -0.001058 0.024257
2650 0.068639 -0.046614 -0.042988 -0.100000 -0.017822 -0.027757 0.027566
2700 0.021538 -0.075683 -0.047554 -0.078788 -0.041626 -0.044423 0.018065
2750 -0.009461 -0.058242 -0.015364 -0.056566 -0.031964 -0.034319 0.010124
2800 -0.016304 -0.067013 -0.022806 -0.064141 -0.017471 -0.037547 0.011505
2850 -0.027174 -0.091799 0.026918 -0.023737 -0.021251 -0.027409 0.018906
2900 -0.010064 -0.066911 0.011302 0.012121 0.032940 -0.004122 0.017107
2950 0.004630 -0.046512 -0.010797 0.007576 -0.003329 -0.009686 0.009749
3000 -0.025564 -0.058242 -0.006004 0.013131 0.027409 -0.009854 0.015033
3050 0.004630 -0.061200 -0.038195 0.006061 0.062627 -0.005215 0.021270
3100 -0.011675 -0.072827 -0.076642 -0.004545 0.083703 -0.016397 0.029152
3150 0.030193 -0.059670 -0.080476 -0.044949 0.044705 -0.022039 0.025039
3200 -0.001610 -0.071297 -0.069427 -0.030808 0.089234 -0.016782 0.029504
3250 -0.024155 -0.078539 -0.046368 -0.038889 0.044354 -0.028719 0.020319
3300 0.027778 -0.106181 -0.087691 -0.078283 0.034342 -0.042007 0.030183
3350 -0.011071 -0.119339 -0.117233 -0.063636 0.048484 -0.052559 0.032168
